hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.21, 0.00160801, 7967.21, -119.998, 7967.21, 120.002, 0, 0, 0.0223603, -89.9984, 0.0223603, 150.002, 0.0223603, 30.0016, 4.36366E-012, 150.002
2, 0.00000, 7967.28, 0.00107425, 7967.28, -119.999, 7967.28, 120.001, 0, 0, 0.014938, -89.9989, 0.014938, 150.001, 0.014938, 30.0011, 2.91518E-012, 150.001
3, 0.00000, 7967.33, 0.000717668, 7967.33, -119.999, 7967.33, 120.001, 0, 0, 0.00997947, -89.9993, 0.00997947, 150.001, 0.00997947, 30.0007, 1.94752E-012, 150.001
4, 0.00000, 7967.37, 0.000479454, 7967.37, -120, 7967.37, 120, 0, 0, 0.00666692, -89.9995, 0.00666692, 150, 0.00666692, 30.0005, 1.30107E-012, 150
5, 0.00000, 7967.4, 0.000245489, 7967.4, -120, 7967.4, 120, 0, 0, 0.00341345, -89.9998, 0.00341345, 150, 0.00341345, 30.0002, 6.66143E-013, 150
6, 0.00000, 7967.41, 0.000196395, 7967.41, -120, 7967.41, 120, 0, 0, 0.00273076, -89.9998, 0.00273076, 150, 0.00273076, 30.0002, 5.32914E-013, 150
7, 0.00000, 7967.41, 0.00015712, 7967.41, -120, 7967.41, 120, 0, 0, 0.0021846, -89.9998, 0.0021846, 150, 0.0021846, 30.0002, 4.26331E-013, 150
8, 0.00000, 7967.42, 0.0001257, 7967.42, -120, 7967.42, 120, 0, 0, 0.00174768, -89.9999, 0.00174768, 150, 0.00174768, 30.0001, 3.41064E-013, 150
9, 0.00000, 8027.21, 1.34614, 8027.21, -118.654, 8027.21, 121.346, 0, 0, 13.9419, -151.975, 13.9419, 88.0252, 13.9419, -31.9748, 2.7208E-009, 88.025
10, 0.00000, 8065.68, 2.22291, 8065.68, -117.777, 8065.68, 122.223, 0, 0, 23.0618, -151.416, 23.0618, 88.5837, 23.0618, -31.4163, 4.50056E-009, 88.5835
11, 0.00000, 8121.42, 3.50987, 8121.42, -116.49, 8121.42, 123.51, 0, 0, 36.5005, -150.593, 36.5005, 89.4073, 36.5005, -30.5927, 7.12315E-009, 89.4072
12, 0.00000, 8139.5, 3.93182, 8139.5, -116.068, 8139.5, 123.932, 0, 0, 40.9195, -150.322, 40.9195, 89.6781, 40.9195, -30.3219, 7.98553E-009, 89.678
13, 0.00000, 8315.92, 3.17275, 8315.92, -116.827, 8315.92, 123.173, 0, 0, 40.2842, -171.11, 40.2842, 68.8904, 40.2842, -51.1096, 7.86155E-009, 68.8904
14, 0.00000, 8315.92, 3.17275, 8315.92, -116.827, 8315.92, 123.173, 0, 0, 40.2842, -171.11, 40.2842, 68.8904, 40.2842, -51.1096, 7.86156E-009, 68.8904
15, 0.00000, 8282.52, 3.36753, 8282.52, -116.632, 8282.52, 123.368, 0, 0, 40.446, -166.726, 40.446, 73.274, 40.446, -46.726, 7.89313E-009, 73.274
16, 0.00000, 8139.5, 3.93182, 8139.5, -116.068, 8139.5, 123.932, 0, 0, 40.9195, -150.322, 40.9195, 89.6782, 40.9195, -30.3218, 7.98555E-009, 89.6781
17, 0.00000, 8103.07, 3.08465, 8103.07, -116.915, 8103.07, 123.085, 0, 0, 32.0528, -150.861, 32.0528, 89.1385, 32.0528, -30.8615, 6.2552E-009, 89.1385
18, 0.00000, 8046.55, 1.78668, 8046.55, -118.213, 8046.55, 121.787, 0, 0, 18.5198, -151.688, 18.5198, 88.3125, 18.5198, -31.6875, 3.61417E-009, 88.3125
19, 0.00000, 7965.97, 0.0105422, 7965.97, -119.989, 7965.97, 120.011, 0, 0, 0.146597, -89.9895, 0.146597, 150.011, 0.146597, 30.0105, 2.86088E-011, 150.01
20, 0.00000, 7966.45, 0.0070421, 7966.45, -119.993, 7966.45, 120.007, 0, 0, 0.0979257, -89.993, 0.0979257, 150.007, 0.0979257, 30.007, 1.91104E-011, 150.007
21, 0.00000, 7966.78, 0.00470425, 7966.78, -119.995, 7966.78, 120.005, 0, 0, 0.0654161, -89.9953, 0.0654161, 150.005, 0.0654161, 30.0047, 1.27661E-011, 150.005
22, 0.00000, 7967, 0.00314261, 7967, -119.997, 7967, 120.003, 0, 0, 0.0437002, -89.9969, 0.0437002, 150.003, 0.0437002, 30.0031, 8.52819E-012, 150.003
23, 0.00000, 7967.14, 0.00209941, 7967.14, -119.998, 7967.14, 120.002, 0, 0, 0.0291937, -89.9979, 0.0291937, 150.002, 0.0291937, 30.0021, 5.69722E-012, 150.002
24, 0.00000, 7967.24, 0.00140252, 7967.24, -119.999, 7967.24, 120.001, 0, 0, 0.0195029, -89.9986, 0.0195029, 150.001, 0.0195029, 30.0014, 3.80604E-012, 150.001
